"taskNo","val1","val2","val3","val4","val5","val6","Acue1","Acue2","Acue3","Acue4","Acue5","Acue6","Bcue1","Bcue2","Bcue3","Bcue4","Bcue5","Bcue6"
1,0.8,0.75,0.7,0.65,0.6,0.55,1,1,1,1,-1,-1,1,1,1,-1,1,1
2,0.8,0.75,0.7,0.65,0.6,0.55,1,1,1,1,-1,-1,-1,1,1,1,1,1
3,0.8,0.75,0.7,0.65,0.6,0.55,1,1,1,-1,-1,1,1,1,-1,1,1,1
4,0.8,0.75,0.7,0.65,0.6,0.55,1,1,1,-1,-1,-1,1,1,-1,1,1,1
5,0.8,0.75,0.7,0.65,0.6,0.55,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
6,0.8,0.75,0.7,0.65,0.6,0.55,1,1,-1,-1,1,1,1,-1,1,1,1,1
7,0.8,0.75,0.7,0.65,0.6,0.55,1,1,-1,-1,1,-1,1,-1,1,1,1,1
8,0.8,0.75,0.7,0.65,0.6,0.55,1,1,-1,-1,-1,1,1,-1,1,1,1,1
9,0.8,0.75,0.7,0.65,0.6,0.55,1,1,-1,-1,-1,1,1,-1,1,1,1,-1
10,0.8,0.75,0.7,0.65,0.6,0.55,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1
11,0.8,0.75,0.7,0.65,0.6,0.55,1,1,-1,-1,-1,-1,1,-1,1,1,1,1
12,0.8,0.75,0.7,0.65,0.6,0.55,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
13,0.8,0.75,0.7,0.65,0.6,0.55,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
14,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,1,-1,-1,1,-1,1,1,1,1,1
15,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,1,-1,-1,1,-1,1,1,1,1,-1
16,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1
17,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,1,-1,-1,-1,-1,1,1,1,1,1
18,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1
19,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,1,1,-1,1,1,1,1,1
20,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,1,1,-1,1,1,1,1,-1
21,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,1,1,-1,1,1,1,-1,1
22,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,1,1,-1,1,1,-1,1,1
23,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,1,-1,-1,1,1,1,1,1
24,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,1,-1,-1,1,1,1,-1,1
25,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,1,-1,-1,1,1,-1,1,1
26,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,-1,1,-1,1,1,1,1,1
27,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,-1,1,-1,1,1,1,1,-1
28,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,-1,1,-1,1,1,-1,1,1
29,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1
30,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,-1,-1,-1,1,1,1,1,1
31,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1
32,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,1,1,-1,1,1,1,1,1
33,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,1,1,-1,1,1,1,1,-1
34,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,1,1,-1,1,1,1,-1,1
35,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1
36,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,1,-1,-1,1,1,1,1,1
37,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1
38,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,-1,1,-1,1,1,1,1,1
39,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1
40,0.8,0.75,0.7,0.65,0.6,0.55,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1
